Title,Director,Actors
DJ: Duvvada Jagannadham,Harish Shankar,Allu Arjun --- Pooja Hegde --- Brahmanandam --- Tanikella Bharani --- Vennela Kishore --- Rao Ramesh --- Murali Sharma --- Subbaraju --- Chandramohan --- Posani Krishna Murali --- Hari Teja --- Prabhakar --- Sameer Hasan --- Vidyullekha Raman --- ,
TRIO - The Hunt for the Holy Shrine,Eva Dahr,Naomi Hasselberg Thorsrud --- Bjørnar Lysfoss Hagesveen --- Henrik Hines Grape --- Franziska Tørnquist --- Reidar Sørensen --- ,
Young Mom,Kye Jang-hyuk,Lee Ji-hyun-VI --- Soo Yeong --- ,
Rainbow: A Private Affair,Paolo Taviani,Vittorio Taviani,Luca Marinelli --- Anna Ferruzzo --- Guglielmo Favilla --- Francesco Turbanti --- Marco Brinzi --- Valentina Bellè --- Francesca Agostini --- Jacopo Olmo Antinori --- Antonella Attili --- Tommaso Maria Neri --- ,
Sudden Misdirection,Richard E. Lawson,Kevin Kem --- Jessica Lawson --- Richard E. Lawson --- Timothy J. Richardson --- ,
Immersion,Mikhael Bassilli,,
The Misogynists,Onur Tukel,Dylan Baker --- Jamie Block --- Christine M. Campbell --- ,
Our Evil,Samuel Galli,Walderrama Dos Santos --- Ricardo Casella --- Gabriela Grecco --- Reinaldo Colmanetti --- Sonia Moreno --- Maria Galves --- Luara Pepita --- Maysa Pettes --- Shirley Viana --- Antony Mello --- Thais Prates --- William Salles --- Ademir Esteves --- Fernando Cardoso --- ,
Special Election,Kristina Monllos,Emelia Benoit-Lavelle --- Lya Yanne --- ,
Middle Man,Ned Crowley,Jim O'Heir --- Andrew J. West --- Josh McDermitt --- Anne Dudek --- Tracey Walter --- Chris Gann --- Robert Catrini --- Barbo K. Adler --- Jocelyn Ayanna --- Chairman Barnes --- T'Shaun Barrett --- Danny Belrose --- Patrick Cannon --- Linna Carter --- Dan Considine --- Kate Crowley --- Chad Donella --- Salvatore Giovia --- Kelly Mantle --- Jake Novak --- Maria Olsen --- Steven Shaw --- Tim Sheridan --- Craig Shoemaker --- Jason Stachowsky --- Stephanie Stachowsky --- Meredith Thomas --- James Underdown --- Brandon Van Vliet --- ,
Fysh,Billie Pleffer,Ron Falk --- ,
Claire in Motion,Lisa Robinson,Annie J. Howell,Betsy Brandt --- Chris Beetem --- Zev Haworth --- Anna Margaret Hollyman --- Sakina Jaffrey --- Ken Strunk --- David Haugen --- Shelley Delaney --- Steven Ross --- Merri Biechler --- Kim Taylor --- Lorraine Wochna --- Abraham Adams --- Alexander Nicosia --- Daniel Aguera --- Minh Nguyet Nguyen --- Jared Davis --- Eduardo Ribeiro --- Bedir Semih --- Natalie Hulla --- Sara Tripp Swartout --- Alycia Kunkle --- Ledger Free --- Marianne Murray --- Jena Seiler --- Brian Evans --- Meredith Jensen --- Mike Broecker --- Joe Brenckle --- Ryan Childs --- Jack Cranfield --- Ryan Patrick Dolan --- Conor Emser --- Andrew Escobedo --- Matt Fujita --- Benjamin Varda Gillespie --- Gary E. Holcomb --- Meredith Kelly --- Sergio R. Lopez-Permouth --- ,
Tea Pets,Gary Wang,Ji Guanlin --- ,
Trained to Kill,Bill Little,Chris Capaldi --- Bill Little --- Rach Leonard --- Jolanda Adams --- Andy Kowalczyk --- Kevin Edgar --- Emiliano Casal --- Paul Lapsley --- Stewart Murdoch --- ,
Throbbin' 84,Timothy Spanos,Alan King --- Terry Yeboah --- Tim Burns --- Mercia Deane-Johns --- Saskia Post --- ,
Scanners,Natalie Jenison,Jennymarie Jemison --- ,
BEARLY,Cherelynn Baker,Gerardo Giacinti --- James Gorday --- Paul Loh --- Joshua Delfs --- Bill Delfs --- ,
Cast Iron Can't Be Welded,Buks Rossouw,,
Ah, Wilderness: Part 1,Yoshiyuki Kishi,Masaki Suda --- Yang Ik-june --- Yūsuke Santamaria --- Yuki Yamada --- Tae Kimura --- Anna Konno --- Akari Kinoshita --- Denden --- Morooka Moro --- Kazuya Takahashi --- Aoba Kawai --- Kou Maehara --- Riku Hagiwara --- Katsuya Kobayashi --- Satoru Kawaguchi --- Takashi Yamanaka --- ,
À la dérive,Bastien Bouillon --- Marie Kremer --- Antoine Duléry --- Foëd Amara --- ,
A Midsummer's Nightmare,Gary Fleder,Ellie Gall --- Eric Balfour --- Dominic Monaghan --- Courtney Love --- Daisy Head --- Paul Walter Hauser --- Anjali Jay --- Casey Deidrick --- Chad Rook --- Rhys Ward --- Jake Robinson --- Chelsea Gilligan --- Kylee Bush --- Jason William Day --- Thomas Cadrot --- Lucius Fairburn --- ,
Wedding Wonderland,Jake Helgren,Andrea Bowen --- Nick Bateman --- Brooke Butler --- Adam Senn --- Susan Walters --- Jane Sibbett --- Bruce Thomas --- Jordan Murphy --- Nosheen Phoenix --- Thomasina Gross --- Brie Mattson --- Dawn McCoy --- Jessa Settle --- Piper The Dog --- ,
Wedding Wonderland,Jake Helgren,Andrea Bowen --- Nick Bateman --- Brooke Butler --- Adam Senn --- Susan Walters --- Jane Sibbett --- Bruce Thomas --- Jordan Murphy --- Nosheen Phoenix --- Thomasina Gross --- Brie Mattson --- Dawn McCoy --- Jessa Settle --- Piper The Dog --- ,
This Is Not What I Expected,Derek Hui,Takeshi Kaneshiro --- Zhou Dongyu --- Ming Xi --- Tony Yang --- Sun Yizhou --- Chang Kuo-Chu --- Lin Chi-Ling --- ,
Palash,Subash Koirala,Rekha Thapa --- Aayub Kc --- Prakash Ghimire --- Kameshwor Chaurasiya --- ,
Special Unit,Michael Aronin --- Christopher Titus --- Cynthia Watros --- Debbie Lee Carrington --- David Figlioli --- Tobias Forrest --- Billy Gardell --- Rachel Bradley --- ,
Nene Raju Nene Mantri,Teja,Rana Daggubati --- Kajal Agarwal --- Catherine Tresa --- Navdeep --- Ashutosh Rana --- Ravi Joshi --- Jayaprakash Reddy --- Posani Krishna Murali --- Pradeep Ram Singh Rawat --- Tanikella Bharani --- Shivaji Raja --- Ajay --- Raghu Karumanchi --- Prabhas Sreenu --- Bitthiri Satthi --- Satya Prakash --- Bindu Chandramouli --- ,
Let's Go, Jets!,Hayato Kawai,Suzu Hirose --- Ayami Nakajo --- Yuki Amami --- Hirona Yamazaki --- Kentaro Ito --- Mackenyu Arata --- Miu Tomita --- Haruka Fukuhara --- Yurina Yanagi --- Saki Minamino --- ,
London Town,Derrick Borte,Jonathan Rhys Meyers --- Daniel Huttlestone --- Dougray Scott --- Natascha McElhone --- Tom Hughes --- Kerry Howard --- Nell Williams --- Samuel Robertson --- Kamryn Boyd --- Meredith Ostrom --- Jeff Leach --- Alex Marx --- Michael Chapman --- ,
Arifa,Sadia Saeed,Shermin Hassan --- ,
Cowboy of Mount Laurier,Gabriel Vilandré,Rosalie Fortier --- Bruno Verdoni --- Mathieu Richard --- Sarah Cloutier Labbé --- Marjorie Gauvin --- Rose-Anne Déry --- ,
Hired Gun,Fran Strine,Kenny Aronoff --- Phil Chen --- Alice Cooper --- Justin Derrico --- Liberty DeVitto --- David Foster --- Siedah Garrett --- Jay Graydon --- Corky Hale --- Michael Fish Herring --- Derek St. Holmes --- Jason Hook --- John J.R. Robinson --- Russell Javors --- John 5 --- Dave Koz --- Aaron Lewis --- Steve Lukather --- Jason Newsted --- Ray Parker, Jr. --- Richard Patrick --- Greg Phillinganes --- Pink --- Rudy Sarzo --- Mark Shulman --- Eric Singer --- Glen Sobel --- Nita Strauss --- Steve Vai --- Rob Zombie --- ,
Tween,Raven Johnson,Paula Coughlin --- Kylie Jean --- Mercy Zelee --- ,
Ruin Me,Preston DeFrancis,Marcienne Dwyer --- Matt Dellapina --- Chris Hill --- Eva Hamilton --- John Odom --- Samuel Ashdown --- Cameron Gordon --- Rocky Rector --- ,
Bigger Than the Beatles,Vaughn Juares,Joseph Andrew Schneider --- Douglas Bennett --- David Cade --- Kevin Kugley --- Emma Danoff --- Annalisa Guidone --- Vaughn Juares --- Sierra Fulcher --- Craig Michaelson --- Philip Kreyche --- Bec Asha --- Nick Frangione --- Chloe Farnworth --- Kaiser Johnson --- Vincent Cusimano --- Jennifer Cadena --- Chanel Ryan --- ,
The Manhattan Front,Cathy Lee Crane,Lee Delong --- Sandra Glinka --- Helen Highfield --- Marlene Sickora --- Carl Whittaker --- ,
Nackt. Das Netz vergisst nie,Jan Martin Scharf,Felicitas Woll --- Martin Gruber --- Aleen Jana Kötter --- Jasmina Al Zihairi --- Niklas Nißl --- Yung Ngo --- Timur Bartels --- Grit Boettcher --- Mathias Herrmann --- Nicole Belstler-Boettcher --- Lilian Prent --- ,
Der Frosch,Jann Preuss,,
Rue de Blamage,Aldo Gugolz,,
Khali the Killer,Jon Matthews,Richard Cabral --- Ryan Dorsey --- Corina Calderon --- Joey Abril --- Deena Freeman --- James Baney --- Chelsea Debo --- Chelsea Debo --- ,
The Death and Life of Marsha P. Johnson,David France,Marsha P. Johnson --- Victoria Cruz --- Sylvia Rivera --- Taylor Mead --- Pat Bumgardner --- Vito Russo --- ,
Digimon Adventure Tri. - Chapter 4: Loss,Keitaro Motonaga,Natsuki Hanae --- Yoshimasa Hosoya --- Mao Ichimichi --- Suzuko Mimori --- Jun'ya Enoki --- Mutsumi Tamura --- Hitomi Yoshida --- Junya Ikeda --- Chika Sakamoto --- Kinoko Yamada --- Mayumi Yamaguchi --- Miwa Matsumoto --- Junko Takeuchi --- Takahiro Sakurai --- Atori Shigematsu --- Yuka Tokumitsu --- Miho Arakawa --- Yukiko Morishita --- Yuko Kaida --- Namikawa Daisuke --- Hiroaki Hirata --- Shunsuke Takeuchi --- Yasuhiro Takato --- Kaori Ishihara --- ,
Digimon Adventure Tri. - Chapter 4: Loss,Keitaro Motonaga,Natsuki Hanae --- Yoshimasa Hosoya --- Mao Ichimichi --- Suzuko Mimori --- Jun'ya Enoki --- Mutsumi Tamura --- Hitomi Yoshida --- Junya Ikeda --- Chika Sakamoto --- Kinoko Yamada --- Mayumi Yamaguchi --- Miwa Matsumoto --- Junko Takeuchi --- Takahiro Sakurai --- Atori Shigematsu --- Yuka Tokumitsu --- Miho Arakawa --- Yukiko Morishita --- Yuko Kaida --- Namikawa Daisuke --- Hiroaki Hirata --- Shunsuke Takeuchi --- Yasuhiro Takato --- Kaori Ishihara --- ,
Diana: In Her Own Words,Tom Jennings,Princess Diana --- Prince Charles --- Prince William --- Queen Elizabeth II --- Queen Elizabeth The Queen Mother --- Bill Fellows --- Heather Long --- Prince Harry --- ,
O Homem de Trás-os-Montes,Miguel Moraes Cabral,,
In Times of Fading Light,Matti Geschonneck,Bruno Ganz --- Alexander Fehling --- Sylvester Groth --- Stephan Grossmann --- Angela Winkler --- Jenya Dodina --- Pit Bukowski --- Gabriela Maria Schmeide --- Natalia Belitski --- Hildegard Schmahl --- Inka Friedrich --- Sophie Pfennigstorf --- Jean Denis Römer --- Ronald Kukulies --- Sarina Radomski --- Jörg Pose --- Thorsten Merten --- Nina Antonova --- Alexander Hörbe --- Friderikke Maria Hörbe --- Stefan Haschke --- Nadja Engel --- Axel Wandtke --- Rike Eckermann --- ,
Have Fun, Vasya!,Roman Karimov,Efim Petrunin --- Lyubov Aksyonova --- Sofya Rayzman --- Sergey Abroskin --- Boris Dergachev --- Michael Khmurov --- Svetlana Stepankovskaya --- Sofia Lebedeva --- Roman Kurtsyn --- ,
Survival Family,Shinobu Yaguchi,Fumiyo Kohinata --- Eri Fukatsu --- Yuki Izumisawa --- Wakana Aoi --- Saburo Tokito --- Norika Fujiwara --- Takuro Ohno --- Jun Shison --- ,
Deuces,Jamal Hill,Larenz Tate --- Meagan Good --- Rotimi --- Rick Gonzalez --- La La Anthony --- Lance Gross --- Antonique Smith --- ,
Star vs. the Forces of Evil: The Battle for Mewni,Dominic Bisignano,Aaron Hammersley,Brett Varon,Giancarlo Volpe,Tyler Chen,Eden Sher --- Adam McArthur --- Alan Tudyk --- Grey DeLisle --- Michael C. Hall --- Natalie Palamides --- Jeffrey Tambor --- Fred Tatasciore --- Patrick Stump --- Esmé Bianco --- Zosia Mamet --- Amy Sedaris --- Kimiya Thais --- Dee Bradley Baker --- Kevin Michael Richardson --- Artt Butler --- Katie Driver --- Greg Ellis --- Nia Vardalos --- Sonny Ashbourne Serkis --- Chris Teraliafera --- Carl Weathers --- Daron Nefcy --- Mark Gagliardi --- Tress MacNeille --- Jeff Bennett --- Dominic Bisignano --- Keith Ferguson --- Scott Menville --- Kari Wahlgren --- Travis Willingham --- ,
The Christmas Calendar,Laura Bell Bundy --- Brendon Zub --- Paloma Kwiatkowski --- Frazey Ford --- Johannah Newmarch --- Christian J. Stewart --- ,
Fucking Drama,Michael Podogil,Lena Kalisch --- Markus Freistätter --- Michael Pink --- Henrietta Rauth --- Manuel Girisch --- Anna Starzinger --- Peter Hübelbauer --- Achmed Abdel-Salam --- ,
Number One,Tonie Marshall,Emmanuelle Devos --- Suzanne Clément --- Benjamin Biolay --- Richard Berry --- Sami Frey --- Anne Azoulay --- Bernard Verley --- Francine Bergé --- John Lynch --- Avy Marciano --- ,
Justice,Richard Gabai,Stephen Lang --- Jamie-Lynn Sigler --- Jackson Rathbone --- Nathan Parsons --- Robert Carradine --- Lesley-Anne Down --- Ellen Hollman --- Quinton Aaron --- Cassandra Rochelle Fetters --- Sam Quinn --- Stephanie Lynn Styles --- Howard Ferguson Jr. --- Christopher Hagen --- Cru Ennis --- John Lewis --- Niko Foster --- Marie Wagenman --- Clint Obenchain --- Sheila Eden --- Boots Southerland --- Richard Beal --- Nathaniel Augustson --- Eric Martinez --- Keith Meriweather --- Chris Ranney --- James Burnett --- Cheo Tapia --- Teresa Jones --- David Christian Welborn --- Daniel Zubiate --- Christopher Kahler --- Elias Lewis --- Clay Space --- Jameson Macmillan --- David White --- Rich Chavez --- Nozomi Labarrere --- Kat Solko --- Claire 'Fluff' Llewellyn --- Clebert Garcia --- Michael Edward Mangan --- Shawn Ortega --- ,
The Mistletoe Inn,Alex Wright,Alicia Witt --- David Alpay --- Casey Manderson --- Lucie Guest --- Linden Banks --- Tiffani Timms --- Benita Ha --- Shiren Van Cooten --- Marion Eisman --- Krzysztof Bryjak --- Rhonda Dent --- Ken Lawson --- Natalie von Rotsburg --- Scott McGrath --- ,
Et les mistrals gagnants,Anne-Dauphine Julliand,Ambre --- Camille --- Imad --- Charles --- Tugdual --- ,
Genocidal Organ,Shuk�? Murase,Yuichi Nakamura --- Takahiro Sakurai --- Akio Otsuka --- Kaito Ishikawa --- Sanae Kobayashi --- Kazuhiro Yamaji --- Takuya Kirimoto --- ,
Tyler Perry's Madea on the Run,Tyler Perry,Tyler Perry --- ,
Bethany,James Cullen Bressack,Stefanie Estes --- Zack Ward --- Tom Green --- Shannen Doherty --- Anna Harr --- Leon Russom --- Kevin Porter --- Keith Jardine --- Felissa Rose --- ,
The Precipice Game,Wang Zao,Ruby Lin --- Peter Ho --- Jin Shijia --- ,
Garoojigi: Stud the Beginning,Jeong Jin-ho,Bae Sun-ah --- Han Se-hee --- ,
Felipe Neto: My Life Makes No Sense,Felipe Neto --- ,
Madtown,Peter Alton,Patrick Scott Lewis --- Maya Stojan --- Alexis Aguirre --- Tim Barraco --- Aidan Bristow --- Erin Callahan --- Benjamin Byron Davis --- Nick Dettorre --- June Dietrich --- Devorah Lynne Dishington --- Mandalyn Forbes --- Rick Foster --- Liam Fountain --- Sara Lahti --- Nelson Lee --- Ty Mayberry --- Monti Sharp --- Anne Son --- Dionna Veremis --- James Harvey Ward --- Don Woods --- ,
Complainant,Eric Cloutier,,
Radio Mary,Gary Walkow,Kate Lyn Sheil --- Eric Gorlow --- Dylan McCormick --- Daniel Kaufman --- ,
Destined,Qasim Basir,Cory Hardrict --- Jesse Metcalfe --- Margot Bingham --- Robert Christopher Riley --- Jason Dohring --- Zulay Henao --- Hill Harper --- La La Anthony --- Mo McRae --- ,
Mirror,Keith LaFountaine,Diana Sanchez --- Erin Rose --- Michael Alvanos --- Kristan Lyon --- ,
Nalu On The Border,Cristiane Oliveira,Maria Galant --- Marat Descartes --- Verónica Perrotta --- Amélia Bittencourt --- �?urea Baptista --- Fabiana Amorim --- Jorge Esmoris --- Liane Venturella --- Diego Trinidad --- Renan Goulart --- ,
Masaryk,Julius Šev�?ík,Karel Roden --- Arly Jover --- Oldřich Kaiser --- Hanns Zischler --- Eva Herzigová --- Jiří Vyorálek --- Emília Vášáryová --- Jiří Ornest --- Dermot Crowley --- Ján Greššo --- Paul Nicholas --- Kateřina Lojdová --- Martin Hofmann --- Zuzana Krónerová --- Milton Welsh --- Joan Blackham --- Gina Bramhill --- Hoji Fortuna --- ,
Rancher, Farmer, Fisherman,Susan Froemke,John Hoffman,Beth Aala,,
Reformation,Uwe Janson,Maximilian Brückner --- Jan Krauter --- Johannes Klaußner --- Frida Lovisa Hamann --- Aylin Tezel --- Fabian Hinrichs --- Armin Rohde --- Joachim Król --- Christoph Maria Herbst --- Anna Schudt --- Johanna Gastdorf --- Rüdiger Vogler --- Arnd Klawitter --- Patrick von Blume --- Peter Lerchbaumer --- Maximilian Ehrenreich --- Gode Benedix --- Jim Deddes --- Tom Jahn --- Georgia Lautner --- Miroslav Navrátil --- Jan Bavala --- Ondřej Biravský --- Zdeněk Košata --- Čestmír Řanda ml. --- Franziska Sloboda --- Tomáš Kořének --- Václav Legner --- Miroslav Babuský --- Jiří Šimberský --- ,
Cold of Kalandar,Mustafa Kara,Haydar Sisman --- Nuray Yesilaraz --- Hanife Kara --- Ibrahim Kuvvet --- Temel Kara --- ,
100 Poems for Stella,Jason Paul Laxamana,Bela Padilla --- JC Santos --- Arvic James Tan --- Maricel Morales --- Prince Stefan --- Dennis Padilla --- Caleb Santos --- Mayton Eugenio --- Rose Van Ginkel --- Christopher Roxas --- Ronnie Liang --- Ali Khatibi --- Menggie Cobarrubias --- Marnie Lapus --- Ana Abad-Santos --- Josh Padilla --- MJ Cayabyab --- Carlo Lazerna --- Carl Guevara --- Jiad Arroyo --- Jordan Castillo --- Ivan Padilla --- Anykka Asistio --- Sheena McBride --- Vanessa Wright --- Zarah Tolentino --- Jeffrey Baluyot --- Joseph Evangelista --- Pongs Leonardo --- J.C. Parker --- ,
Chang-ok's Letter,Shunji Iwai,Bae Doo-na --- Kim Joo-hyuk --- Lee Joo-sil --- Shin Eun-soo --- Jeong Joon-won --- ,
Ali, the Goat and Ibrahim,Sherif El Bendary,Ali Sobhi --- Ahmad Magdy --- Nahed El Sebai --- Salwa Mohamed Ali --- ,
Burnt in Memories,Nadja Veluš�?ek,Anja Medved,,
My Teacher Who Doesn't Know How to Read,Perry Escaño,Alfred Vargas --- Mon Confiado --- James Blanco --- Lou Veloso --- Miggs Cuaderno --- Marc Justine Alvarez --- Kiko Matos --- Loren Burgos --- Micko Laurente --- Joanna Marie Tan --- Shyr Valdez --- Paul Sy --- Garie Concepcion --- Lianne Valentino --- Hazel Faith Dela Cruz --- Tori Garcia --- Alvin Barcelona --- Marife Necesito --- Bon Andrew Lentejas --- Ernie Garcia --- Danielle Afuang --- Bong Cabrera --- Abel Napuran --- Micah Musa --- Leon Miguel --- Chris Garrido --- Rob Sy --- Richard Manabat --- Angelo Estrada --- Loraine Salvador --- James Lomahan --- Jess Evardone --- Vic Romano --- Edmund Dreu Santiago --- Bernard Laxa --- ,
Bickford Park,Dane Clark,Linsey Stewart,Liane Balaban --- Patrick John Costello --- Daniel Policelli --- ,
Mosquito,Su Rynard,Jeremy Renner --- ,
Lucky Loser,Nico Sommer,Peter Trabner --- Gustav-Peter Wöhler --- Emma Bading --- Elvis Clausen --- Annette Frier --- Andreas Hoppe --- Michael Kind --- Christin Nichols --- Harald Polzin --- Katharina Schlothauer --- Ursula Staack --- Antonio Wannek --- Ursula Werner --- Kai Wiesinger --- Andreas Windhuis --- ,
ZOR,Greg Sharp,,
Aurora Borealis - Northern Light,Márta Mészáros,Mari Törőcsik --- Ildikó Tóth --- Antonio de la Torre --- Franciska Töröcsik --- Eva-Maria Prosek --- József Wunderlich --- Jákob Ladányi --- ,
Lucky Loser,Nico Sommer,Peter Trabner --- Gustav-Peter Wöhler --- Emma Bading --- Elvis Clausen --- Annette Frier --- Andreas Hoppe --- Michael Kind --- Christin Nichols --- Harald Polzin --- Katharina Schlothauer --- Ursula Staack --- Antonio Wannek --- Ursula Werner --- Kai Wiesinger --- Andreas Windhuis --- ,
Life in Gray,Leonardo Martinelli,Wagner Moura --- Gregório Duvivier --- Glenn Greenwald --- Roney Villela --- Petra Costa --- Marielle Franco --- Marcelo Freixo --- Flávio Bolsonaro --- Lindbergh Farias --- Roxanne Peguet --- Ricardo Brandão --- Ciara Ní Longaigh --- Etiene Magalhães --- Claudio Vieira --- ,
Shopkins World Vacation,,
Concorde: A Supersonic Story,Sophie Okonedo --- ,
Beautiful Trauma Live: P!nk,Pink --- ,
Saving Banksy,Colin Day,,
100 Poems for Stella,Jason Paul Laxamana,Bela Padilla --- JC Santos --- Arvic James Tan --- Maricel Morales --- Prince Stefan --- Dennis Padilla --- Caleb Santos --- Mayton Eugenio --- Rose Van Ginkel --- Christopher Roxas --- Ronnie Liang --- Ali Khatibi --- Menggie Cobarrubias --- Marnie Lapus --- Ana Abad-Santos --- Josh Padilla --- MJ Cayabyab --- Carlo Lazerna --- Carl Guevara --- Jiad Arroyo --- Jordan Castillo --- Ivan Padilla --- Anykka Asistio --- Sheena McBride --- Vanessa Wright --- Zarah Tolentino --- Jeffrey Baluyot --- Joseph Evangelista --- Pongs Leonardo --- J.C. Parker --- ,
Asahinagu,Tsutomu Hanabusa,Nanase Nishino --- Yuria Eda --- Mai Shiraishi --- Marika Ito --- Reika Sakurai --- Sayuri Matsumura --- Erika Ikuta --- Honatsu Kitahara --- Kiyo Matsumoto --- ,
Destined,Qasim Basir,Cory Hardrict --- Jesse Metcalfe --- Margot Bingham --- Robert Christopher Riley --- Jason Dohring --- Zulay Henao --- Hill Harper --- La La Anthony --- Mo McRae --- ,
Radio Mary,Gary Walkow,Kate Lyn Sheil --- Eric Gorlow --- Dylan McCormick --- Daniel Kaufman --- ,
Mirror,Keith LaFountaine,Diana Sanchez --- Erin Rose --- Michael Alvanos --- Kristan Lyon --- ,
Nalu On The Border,Cristiane Oliveira,Maria Galant --- Marat Descartes --- Verónica Perrotta --- Amélia Bittencourt --- �?urea Baptista --- Fabiana Amorim --- Jorge Esmoris --- Liane Venturella --- Diego Trinidad --- Renan Goulart --- ,
D.P.A. Detetives do Prédio Azul - O Filme,André Pellenz,Letícia Braga --- Anderson Lima --- Pedro Henrique Motta --- Pedro Henrique Motta --- Tamara Taxman --- Ronaldo Reis --- Letícia Pedro --- Cauê Campos --- Caio Manhente --- Charles Myara --- Suely Franco --- Otávio Müller --- Mariana Ximenes --- Ailton Graça --- Maria Clara Gueiros --- George Sauma --- Miriam Freeland --- Luciano Quirino --- Sávio Moll --- Carol Futuro --- ,
Cold Water,Raymond Ley,Harald Schrott --- Maria Dragus --- Mirosław Baka --- Lola Klamroth --- Max Schimmelpfennig --- ,
Gender Revolution: A Journey with Katie Couric,Katie Couric,Katie Couric --- Hari Nef --- Gavin Grimm --- Sarah McBride --- ,
Chang-ok's Letter,Shunji Iwai,Bae Doo-na --- Kim Joo-hyuk --- Lee Joo-sil --- Shin Eun-soo --- Jeong Joon-won --- ,
Ali, the Goat and Ibrahim,Sherif El Bendary,Ali Sobhi --- Ahmad Magdy --- Nahed El Sebai --- Salwa Mohamed Ali --- ,
The Receipt: Lost & Found,Marc Forster,,
Burnt in Memories,Nadja Veluš�?ek,Anja Medved,,
Alpha & Omega: Journey to Bear Kingdom,,
My Teacher Who Doesn't Know How to Read,Perry Escaño,Alfred Vargas --- Mon Confiado --- James Blanco --- Lou Veloso --- Miggs Cuaderno --- Marc Justine Alvarez --- Kiko Matos --- Loren Burgos --- Micko Laurente --- Joanna Marie Tan --- Shyr Valdez --- Paul Sy --- Garie Concepcion --- Lianne Valentino --- Hazel Faith Dela Cruz --- Tori Garcia --- Alvin Barcelona --- Marife Necesito --- Bon Andrew Lentejas --- Ernie Garcia --- Danielle Afuang --- Bong Cabrera --- Abel Napuran --- Micah Musa --- Leon Miguel --- Chris Garrido --- Rob Sy --- Richard Manabat --- Angelo Estrada --- Loraine Salvador --- James Lomahan --- Jess Evardone --- Vic Romano --- Edmund Dreu Santiago --- Bernard Laxa --- ,
Masaryk,Julius Šev�?ík,Karel Roden --- Arly Jover --- Oldřich Kaiser --- Hanns Zischler --- Eva Herzigová --- Jiří Vyorálek --- Emília Vášáryová --- Jiří Ornest --- Dermot Crowley --- Ján Greššo --- Paul Nicholas --- Kateřina Lojdová --- Martin Hofmann --- Zuzana Krónerová --- Milton Welsh --- Joan Blackham --- Gina Bramhill --- Hoji Fortuna --- ,
Rancher, Farmer, Fisherman,Susan Froemke,John Hoffman,Beth Aala,,
Reformation,Uwe Janson,Maximilian Brückner --- Jan Krauter --- Johannes Klaußner --- Frida Lovisa Hamann --- Aylin Tezel --- Fabian Hinrichs --- Armin Rohde --- Joachim Król --- Christoph Maria Herbst --- Anna Schudt --- Johanna Gastdorf --- Rüdiger Vogler --- Arnd Klawitter --- Patrick von Blume --- Peter Lerchbaumer --- Maximilian Ehrenreich --- Gode Benedix --- Jim Deddes --- Tom Jahn --- Georgia Lautner --- Miroslav Navrátil --- Jan Bavala --- Ondřej Biravský --- Zdeněk Košata --- Čestmír Řanda ml. --- Franziska Sloboda --- Tomáš Kořének --- Václav Legner --- Miroslav Babuský --- Jiří Šimberský --- ,
Cold of Kalandar,Mustafa Kara,Haydar Sisman --- Nuray Yesilaraz --- Hanife Kara --- Ibrahim Kuvvet --- Temel Kara --- ,
Complainant,Eric Cloutier,,
Tri bogatyrya i Morskoy tsar,Konstantin Feoktistov,Aleksandr Boyarskiy --- Dmitriy Bykovskiy-Romashov --- Oleg Kulikovich --- Sergei Makovetsky --- Anatoliy Petrov --- Elena Shulman --- Mariya Tsvetkova --- Valeri Solovyev --- Liya Medvedeva --- Dimitri Vysotsky --- ,
Arthur Miller: Writer,Rebecca Miller,Arthur Miller --- Inge Morath --- Tony Kushner --- Mike Nichols --- ,
Meet Walter,Luke Scott,Michael Fassbender --- ,
Bajo la Rosa,Josué Ramos,Pedro Casablanc --- Elisabet Gelabert --- Ramiro Blas --- Zack Gómez --- ,
Would You Look at Her,Goran Stolevski,Sara Klimoska --- Perunika Kiseli�?ki --- Antonija Belazelkoska --- Ivo Antov Larsson --- Igor Angelov --- Milica Stojanova --- Izabela Novotni --- Goran Ilić --- Žarko Jovanovik --- Viktor Arsov --- Simon Manaskovski --- ,
Werewolf Bitches from Outer Space,Dylan Greenberg,Reverend Jen Miller,Courtney Fathom Sell,Nick Zedd,Janeane Garofalo --- Lloyd Kaufman --- Reverend Jen Miller --- Faceboy --- The Toxic Avenger --- ,
Vitalium, Valentine!,Jean-Charles Fitoussi,Guillaume Gallienne --- Frédéric Schiffter --- David Brouzet --- Serge Reboul --- Jacqueline Queneau --- ,
The Inside Story,Jo Il-joon,Ji Eun-Seo --- Kim Gwang-seok --- Woo Jin-yeong --- Lee Jang-mi --- ,
100 Years,Lena Dunham,Kirsten Lepore,America Ferrera --- Mindy Kaling --- Jennifer Lawrence --- Meryl Streep --- Lena Dunham --- Amy Schumer --- Tessa Thompson --- Gina Rodriguez --- Constance Wu --- Andrew Rannells --- Hari Nef --- Sasheer Zamata --- Cecile Richards --- ,
Birth of a Movement,Bestor Cram,Susan Gray,Danny Glover --- Spike Lee --- Henry Louis Gates, Jr. --- Reginald Hudlin --- ,
Save Pushkin,Filipp Korshunov,Pavel Mirzoev,Konstantin Kryukov --- Irina Krutik --- Yuriy Galtsev --- Aleksey Lukin --- Sergey Rost --- Igor Yasulovich --- Arina Postnikova --- Polina Volkova --- ,
Missing 411,Michael DeGrazier,Benjamin Paulides,,
