Title,Director,Actors
PROGRESS Chapter 79: One Big Neck With Sausage Hands,James Mcahren --- ,
Red Sparrow,Francis Lawrence,Jennifer Lawrence --- Joel Edgerton --- Matthias Schoenaerts --- Charlotte Rampling --- Jeremy Irons --- Ciarán Hinds --- Joely Richardson --- Mary-Louise Parker --- Bill Camp --- Douglas Hodge --- Thekla Reuten --- Sakina Jaffrey --- Sergei Polunin --- Kristof Konrad --- Nicole O'Neill --- Sergej Onopko --- David Z. Miller --- Sasha Frolova --- Hugh Quarshie --- Sebastian Hülk --- Joel de la Fuente --- Judit Rezes --- Makar Zaporozhskiy --- Tom Morley --- Louis Hofmann --- Ingeborga Dapkūnaitė --- Chris O'Hara --- Kata Pálfi --- Karen Gagnon --- Zsolt Vicei --- Anger Zsolt --- Attila �?rpa --- Simon Szabó --- Judit Viktor --- Bálint Adorjáni --- Kincső Pethő --- ,
12 Strong,Nicolai Fuglsig,Chris Hemsworth --- Michael Shannon --- Michael Peña --- Trevante Rhodes --- Navid Negahban --- Geoff Stults --- Thad Luckinbill --- Austin Stowell --- Ben O'Toole --- Jack Kesy --- Fahim Fazli --- Austin Hébert --- Kenny Sheard --- Elsa Pataky --- Yousuf Azami --- Taylor Sheridan --- William Fichtner --- Rob Riggle --- Yasmine Aker --- Marie Wagenman --- Kevin Kent --- Lauren Myers --- Seth Adkins --- Allison King --- Mustafa Haidari --- Shawn Lecrone --- Frank Powers --- Martin Palmer --- Laith Nakli --- J. Nathan Simmons --- Veronica Diaz-Carranza --- Peter Malek --- Ali Olomi --- Shvan Aladdin --- Kenneth Miller --- Tim Aydelott --- Matthew Van Wettering --- James Joseph Pulido --- Shawn Sarmeidani --- Anouar H. Smaine --- Nour Bitar --- Edward Butron --- Christian Pedersen --- Arshia Mandavi --- Nate Boyer --- Adrian Luna --- Benjamin Poe --- Perla Daoud --- Michael E. Stogner --- Lawrence Gilligan --- Michael Sercerchi --- Tommy Truex --- ,
Happyness is a Warm Gun,Mirko Borscht,Patricija Bronić,Johanna Dähler,Simon Labhart,Max Roenneberg,Julian Anatol Schneider,,
Wasted Eggs,Ryou Kawasaki,,
Malevolent,Olaf de Fleur Johannesson,Ben Lloyd-Hughes --- Florence Pugh --- Celia Imrie --- Scott Chambers --- Georgina Bevan --- Niall Greig Fulton --- Daniel Campbell --- Stephen McCole --- James Cosmo --- ,
Dragon Ball Super: Broly,Tatsuya Nagamine,Masako Nozawa --- Ryou Horikawa --- Bin Shimada --- Ryusei Nakao --- Banjou Ginga --- Toshio Furukawa --- Aya Hisakawa --- Takeshi Kusao --- Kouichi Yamadera --- Masakazu Morita --- Katsuhisa Houki --- Ryuuzaburou Ootomo --- Nana Mizuki --- Tomokazu Sugita --- ,
Annihilation,Alex Garland,Natalie Portman --- Jennifer Jason Leigh --- Gina Rodriguez --- Tessa Thompson --- Tuva Novotny --- Oscar Isaac --- Benedict Wong --- Sonoya Mizuno --- David Gyasi --- Sammy Hayman --- Josh Danford --- John Schwab --- Kristen McGarrity --- Bern Collaco --- Kumud Pant --- Honey Holmes --- Annarie Boor --- Mairead Armstrong --- Hiten Patel --- Miroslav Zaruba --- Cosmo Jarvis --- Matthew Simpson --- Daniel Prewitt --- Kola Bokinni --- Odette Michell --- ,
The Scorpion King: Book of Souls,Don Michael Paul,Zach McGowan --- Peter Mensah --- Pearl Thusi --- Mayling Ng --- Katy Louise Saunders --- Inge Beckmann --- Stephanie Schildknecht --- Howard Charles --- Rizelle Januk --- Nathan Jones --- Peter Jessop --- Lesala Mampa --- ,
Maze Runner: The Death Cure,Wes Ball,Dylan O'Brien --- Kaya Scodelario --- Thomas Brodie-Sangster --- Ki Hong Lee --- Rosa Salazar --- Giancarlo Esposito --- Will Poulter --- Jacob Lofland --- Patricia Clarkson --- Aidan Gillen --- Walton Goggins --- Dexter Darden --- Katherine McNamara --- Nathalie Emmanuel --- Barry Pepper --- Dylan Smith --- Paul Lazenby --- Jake Curran --- Dylan Kriek --- Scot Cooper --- Devin Koehler --- Parm Soor --- Kazi Maubert --- Bart Fouche --- Greg Kriek --- Paul du Toit --- Liza Scholtz --- Shai Lun Choo --- Fiona Ramsay --- Paul Hampshire --- Nathan Barris --- Drikus Volschenk --- Clayton Evertson --- Emily Child --- Dale Jackson --- Armando De Leca --- Byron Schepen --- ,
The Commuter,Jaume Collet-Serra,Liam Neeson --- Vera Farmiga --- Patrick Wilson --- Jonathan Banks --- Sam Neill --- Elizabeth McGovern --- Killian Scott --- Shazad Latif --- Andy Nyman --- Clara Lago --- Roland Møller --- Florence Pugh --- Dean-Charles Chapman --- Ella-Rae Smith --- Nila Aalia --- Colin McFarlane --- Adam Nagaitis --- Kobna Holdbrook-Smith --- Kingsley Ben-Adir --- Damson Idris --- Ben Caplan --- Letitia Wright --- Andy Lucas --- Simon Hibbs --- Zaak Conway --- Jamie Beamish --- John Alastair --- Aoife Hinds --- Alana Maria --- Jaime Menéndez --- Pat Kiernan --- Nathan Wiley --- David Alwyn --- Edward Bluemel --- Lee Asquith-Coe --- David Olawale Ayinde --- Mark Battershill --- Neal Beagley --- Marc Benanti --- Andres Austin Bennett --- Dilyana Bouklieva --- Bern Collaço --- Pamela Betsy Cooper --- Graham Curry --- Leigh Dent --- Steven I. Dillard --- Andrew Dunkelberger --- Vikki Edwards --- Begona F. Martin --- Matthew Faucher --- Lee Nicholas Harris --- Pete Buzzsaw Holland --- Alex Jaep --- Kyle Jerichow --- Peter Meyer --- Anthony Milton --- Tony Pankhurst --- Shade Rupe --- Richard Stanley --- A.k. Steppa --- Georgie-May Tearle --- Stuart Whelan --- ,
The Domestics,Mike P. Nelson,Tyler Hoechlin --- Kate Bosworth --- Sonoya Mizuno --- Lance Reddick --- David Dastmalchian --- Laura Cayouette --- Dana Gourrier --- Jeff Chase --- Brad Leland --- ,
SuperFly,Director X.,Trevor Jackson --- Jason Mitchell --- Michael Kenneth Williams --- Lex Scott Davis --- Jennifer Morrison --- Kaalan Rashad Walker --- Esai Morales --- Andrea Londo --- Big Bank Black --- Big Boi --- Jacob Ming-Trent --- Brian F. Durkin --- Dominique Madison --- Angel Love --- Terayle Hill --- Dawntavia Bullard --- Kia Shine --- Al Nuke --- Atkins Estimonds --- Adriyan Rae --- Lisa Rayam --- Kurt Yue --- Renée Victor --- Allen Maldonado --- Ahmed Lucan --- Michael Beasley --- Adam Boyer --- Rick Ross --- Ivan Leung --- L. Warren Young --- Zaytoven --- Lecrae Moore --- Al-Jaleel Knox --- ,
Papillon,Michael Noer,Charlie Hunnam --- Rami Malek --- Christopher Fairbank --- Eve Hewson --- Michael Socha --- Brian Vernel --- Nicholas Asbury --- Yorick van Wageningen --- Nikola Kent --- Roland Møller --- Slavko Sobin --- Goran Navojec --- Joel Basman --- Tommy Flanagan --- Demetri Goritsas --- Cali Nelle --- Reshad Strik --- Nina Seni�?ar --- Ian Beattie --- ,
211,York Alec Shackleton,Nicolas Cage --- Sophie Skelton --- Dwayne Cameron --- Weston Cage --- Michael Rainey Jr. --- Cory Hardrict --- Amanda Cerny --- Ori Pfeffer --- Petar Mitev --- Aaron Cohen --- Sapir Azulay --- Velizar Binev --- Bleona --- Owen Davis --- Rachel O'Meara --- Atanas Srebrev --- Shari Watson --- Michael Bellisario --- Raymond Steers --- Derek Horse --- Fedi Bashur --- Aleksander Karastoyanov --- Alexandra Dinu --- ,
Look Away,Assaf Bernstein,India Eisley --- Mira Sorvino --- Jason Isaacs --- Harrison Gilbertson --- Penelope Mitchell --- Kristen Harris --- John C. MacDonald --- Adam Hurtig --- ,
Black '47,Lance Daly,Hugo Weaving --- James Frecheville --- Stephen Rea --- Jim Broadbent --- Freddie Fox --- Barry Keoghan --- Sarah Greene --- Moe Dunford --- Antonia Campbell-Hughes --- Kieran Boland --- Dermot Crowley --- Ciaran Grace --- Diarmuid de Faoite --- Aidan McArdle --- ,
Teen Titans Go! To the Movies,Aaron Horvath,Peter Rida Michail,Greg Cipes --- Scott Menville --- Khary Payton --- Tara Strong --- Hynden Walch --- Will Arnett --- Kristen Bell --- Nicolas Cage --- Jimmy Kimmel --- Kal-El Cage --- Halsey --- Lil Yachty --- Stan Lee --- Wil Wheaton --- Patton Oswalt --- Eric Bauza --- David Kaye --- Greg Davies --- John DiMaggio --- Michael Bolton --- Tom Kenny --- Fred Tatasciore --- Vanessa Marshall --- Joey Cappabianca --- Meredith Salenger --- Dave Stone --- Phil Morris --- Alexander Polinsky --- James Arnold Taylor --- ,
Reprisal,Brian A. Miller,Bruce Willis --- Frank Grillo --- Johnathon Schaech --- Olivia Culpo --- Natali Yura --- Tyler Jon Olson --- Wass Stevens --- Colin Egglesfield --- Shea Buckner --- Christopher Rob Bowen --- Ken Strunk --- Tamara Belous --- Cameron Brexler --- Rajiim A. Gross --- Geoff Reeves --- John Dauer --- Nicolas Petron --- ,
Death Race 4: Beyond Anarchy,Don Michael Paul,Danny Trejo --- Zach McGowan --- Danny Glover --- Fred Koehler --- Christine Marzano --- Yennis Cheung --- Nicholas Aaron --- Lorina Kamburova --- Julian Seager --- Kellie Blaise --- Cameron Jack --- Velislav Pavlov --- Cassie Clare --- Vanina Arias --- Victoria Ananieva --- Jasette Amos --- Neli Angelova --- Boyan Anev --- Diana Dimitrova --- Georgi Dimitrov --- John Hales --- Natalie Ann Parry --- Rasina Pavlova --- Valeri Yordanov --- Lee Shone --- Daria Simeonova --- Reni Sirmina --- Terence Maynard --- Dilyana Popova --- ,
Upgrade,Leigh Whannell,Logan Marshall-Green --- Betty Gabriel --- Harrison Gilbertson --- Simon Maiden --- Benedict Hardie --- Melanie Vallejo --- Linda Cropper --- Sachin Joab --- Steve Danielsen --- Michael M. Foster --- Clayton Jacobson --- Richard Cawthorne --- Renah Gallagher --- Christopher Kirby --- Rosco Campbell --- Richard Anastasios --- Douglas Embry --- Liam Howarth --- ,
Final Score,Scott Mann,Dave Bautista --- Ray Stevenson --- Lara Peake --- Amit Shah --- Pierce Brosnan --- Martyn Ford --- Alexandra Dinu --- Lucy Gaskell --- Craig Conway --- Bill Fellows --- Ralph Brown --- Julian Cheung --- Aaron McCusker --- ,
Disobedience,Sebastián Lelio,Rachel Weisz --- Rachel McAdams --- Alessandro Nivola --- Cara Horgan --- Liza Sadovy --- Omri Rose --- Anton Lesser --- Dominic Applewhite --- Bernardo Santos --- Allan Corduner --- Nicholas Woodeson --- Alexis Zegerman --- Mark Stobbart --- David Olawale Ayinde --- Adam Lazarus --- Bernice Stegers --- Dave Simon --- Sophia Brown --- ,
White Boy Rick,Yann Demange,Richie Merritt --- Matthew McConaughey --- Jennifer Jason Leigh --- Bel Powley --- RJ Cyler --- Rory Cochrane --- Eddie Marsan --- Bruce Dern --- Piper Laurie --- Brian Tyree Henry --- Taylour Paige --- Jonathan Majors --- Kyanna Simone Simpson --- Lawrence Adimora --- Brad Carter --- Brian Wolfman Black Bowman --- Gaynelle W. Sloman --- Derrick Gilliam --- Yassie Hawkes --- Lauren Ashley Berry --- Tyler Joseph Campbell --- Joe Fishel --- ,
Game Night,John Francis Daley,Jonathan M. Goldstein,Jason Bateman --- Rachel McAdams --- Kyle Chandler --- Sharon Horgan --- Billy Magnussen --- Lamorne Morris --- Kylie Bunbury --- Jesse Plemons --- Michael C. Hall --- Danny Huston --- Chelsea Peretti --- Camille Chen --- Jeffrey Wright --- Zerrick Williams --- Joshua Mikel --- R.F. Daley --- John Francis Daley --- Michael Cyril Creighton --- Brooke Jaye Taylor --- Jonathan Goldstein --- Natasha Hall --- Malcolm X. Hughes --- Jessica Lee --- Curtis Lyons --- Charlotte Haynes Hazzard --- Chad "Gunner" Lail --- Loren Schaffer --- Kabby Borders --- Kelly Johns --- Steve Witting --- Andrew Benator --- ,
Uncle Drew,Charles Stone III,Kyrie Irving --- LilRel Howery --- Shaquille O'Neal --- Chris Webber --- Reggie Miller --- Nate Robinson --- Lisa Leslie --- Erica Ash --- J.B. Smoove --- Mike Epps --- Tiffany Haddish --- Nick Kroll --- William Walker --- Crystal Lee Brown --- Jamel Chambers --- Terence Rosemore --- Ashton Tyler --- Aaron Gordon --- Sal Masekela --- John Calipari --- Jon Hammond --- Scoop Jackson --- Pee Wee Kirkland --- Earl Monroe --- Chris Mullin --- Bill Walton --- George Gervin --- Steve Nash --- David Robinson --- Jerry West --- Dikembe Mutombo --- NeNe Leakes --- ,
Christmas Perfection,David Jackson,Caitlin Thompson --- James Henri-Thomas --- Rob Silverman --- Norma Sheahan --- Sinead O'Riordan --- Gary Hetzler --- Caoilfhionn McDonnell --- ,
First Reformed,Paul Schrader,Ethan Hawke --- Amanda Seyfried --- Cedric the Entertainer --- Victoria Hill --- Philip Ettinger --- Michael Gaston --- Bill Hoag --- Kristin Villanueva --- Ingrid Kullberg-Bendz --- Ken Forman --- Christopher Dylan White --- Frank Rodriguez --- Gary Lee Mahmoud --- Joseph Anthony Jerez --- Sue Jean Kim --- Miah Issabella Velasquez --- Tyler Bourke --- Natalie Woolams-Torres --- Van Hansis --- Ramon Nuñez --- Delano Montgomery --- Satchel Eden Bell --- Jon Rua --- Otis Edward Cotton --- Mark Havlis --- Erica Fae --- Prudence Wright Holmes --- Ronald Peet --- Juliet Schlefer --- Elanna White --- Olivia Rose Cohenher --- Jake Alden-Falconer --- Eric Lockley --- Krystina Alabado --- Dennis Michael Giammetta --- Mahaleia Gray --- ,
A Prayer Before Dawn,Jean-Stéphane Sauvaire,Joe Cole --- Vithaya Pansringarm --- Pornchanok Mabklang --- Nicolas Shake --- Billy Moore --- Panya Yimmumphai --- Somlock Kamsing --- Sura Sirmalai --- Sakda Niamhom --- Komsan Polsan --- Chaloemporn Sawatsuk --- ,
Siberia,Matthew Ross,Keanu Reeves --- Ana Ularu --- Pasha D. Lychnikoff --- Boris Gulyarin --- Ashley St. George --- Elliot Lazar --- Veronica Ferres --- Vladimir Shklyar --- Mikhail Bogdanov --- Rafael Petardi --- Darren Ross --- Taran Vitt --- James Gracie --- Dmitry Chepovetsky --- Kis Yurij --- Aleks Paunovic --- Vlad Stokanic --- Molly Ringwald --- Alex Kudrytsky --- Cory Chetyrbok --- Nazariy Demkowicz --- Morgan Holmstrom --- Rayna Esposito --- Lindsy Baudry --- Bradley Sawatzky --- Ruslan Rusin --- Eugene Lipinski --- Vitali Makarov --- Andrew Degryse --- Jeff Strome --- Richard Thomas --- Bj Verot --- Anders Strome --- ,
Mortal Engines,Christian Rivers,Hera Hilmar --- Robert Sheehan --- Hugo Weaving --- Ronan Raftery --- Stephen Lang --- Leila George --- Jihae --- Colin Salmon --- Sophie Cox --- Caren Pistorius --- Aaron Jackson --- Mark Hadlow --- Menik Gooneratne --- Joel Tobeck --- Stephen Ure --- Kee Chan --- Patrick Malahide --- Regé-Jean Page --- Frankie Adams --- Mark Mitchinson --- Yoson An --- ,
Trauma is a Time Machine,Angelica Zollo,,
22 July,Paul Greengrass,Jonas Strand Gravli --- Anders Danielsen Lie --- Jon Øigarden --- Seda Witt --- Ola G. Furuseth --- Maria Bock --- Isak Bakli Aglen --- Thorbjørn Harr --- Marit Andreassen --- Øystein Martinsen --- Valborg Frøysnes --- Thor-Harald Normann --- Anders Kulsrud Storruste --- Monica Borg Fure --- Mathias Eckhoff --- Selma Strøm Sönmez --- Hilde Olausson --- Lena Kristin Ellingsen --- Anneke von der Lippe --- Trygve Svindland --- Trim Balaj --- Pål Espen Kilstad --- Håkon Smeby --- Endre Hellestveit --- Lars Arentz-Hansen --- Turid Gunnes --- Ulrikke Hansen Døvigen --- Hasse Lindmo --- Tone Danielsen --- Vivian Hein --- Fredrik Stenberg Ditlev-Simonsen --- Charlotte Grundt --- Ingri Enger Damon --- Mikkel Bratt Silset --- André Sørum --- Tomas Gudbjartsson --- Andri Wilberg Orrason --- Eindride Eidsvold --- Joakim Skarli --- Marita Fjeldheim Wierdal --- Terje Ranes --- Øyvind Venstad Kjeksrud --- Silje Breivik --- Mette Scarth Tønseth --- Ellen Birgitte Winther --- Ole Aleksander Wold Lien --- ,
Mowgli: Legend of the Jungle,Andy Serkis,Rohan Chand --- Andy Serkis --- Christian Bale --- Benedict Cumberbatch --- Cate Blanchett --- Freida Pinto --- Naomie Harris --- Peter Mullan --- Eddie Marsan --- Matthew Rhys --- Jack Reynor --- Tom Hollander --- Georgie Farmer --- Josh Jefferies --- Riaz Mansoor --- Louis Ashbourne Serkis --- ,
Wolf Warrior 3,Wu Jing,Wu Jing --- Nan Yu --- Shi Zhaoqi --- ,
How It Ends,David M. Rosenthal,Theo James --- Forest Whitaker --- Kat Graham --- Kerry Bishé --- Grace Dove --- Mark O'Brien --- Nicole Ari Parker --- Nancy Sorel --- Anett Rumanoczky --- Cheryl Gensiorek --- Lanie McAuley --- Aaron Hughes --- Josh Cruddas --- Aidan Ritchie --- Rick Skene --- Charis Ann Wiens --- David Lewis --- Haig Sutherland --- Cory Chetyrbok --- ,
First Kiss,Roy Poortmans,Leontine Borsato --- Stijn Fransen --- Caroline de Bruijn --- Marije Zuurveld --- Jeroen van Holland --- Monique Smit --- Buddy Vedder --- Vajèn van den Bosch --- Bastiaan Ragas --- Ron Brandsteder --- Manou Jue Cardoso --- Precious Bostelaar --- Jetty Mathurin --- Christiaan van der Wal --- Rik Sinkeldam --- Dorien Rose Duinker --- Jessie Maya --- Carolein van Duren --- Andy van Veen --- EliZe --- ,
Patient Zero,Stefan Ruzowitzky,Matt Smith --- Natalie Dormer --- Stanley Tucci --- John Bradley --- Clive Standen --- Colin McFarlane --- Agyness Deyn --- James Northcote --- Frederick Schmidt --- Pippa Bennett-Warner --- Susanna Herbert --- Joshua Osei --- Yumiko Hanasaka --- Dilyana Bouklieva --- Anastasia Harrold --- Daniel Westwood --- Jorge Leon Martinez --- ,
Kamen Rider Amazons The Movie: The Final Judgement,Hidenori Ishida,Tom Fujita --- Taniguchi Masashi --- Rena Takeda --- Ayu Higashi --- Kota Miura --- Yoshito Momiki --- Mitsutoshi Shund�? --- Kanon Miyahara --- Katsuya --- Kazuya Tanabe --- Nobuo Kyô --- Seina Kokufuda --- Rion Okamoto --- Yumeto Okuda --- Touma Oonishi --- Nobuo Shimazaki --- Tsukushi Suzuki --- Haruhi Kawano --- Takeru Hayashi --- Yû Kamio --- Takako Katou --- Takashi Fujiki --- ,
The Truth About Christmas,Jay Karas,Kali Hawk --- Damon Dayoub --- Sydney Van Delft --- Xavier Sotelo --- John Koensgen --- Matthew Stefiuk --- Ali Ghandour --- Michela Cannon --- Adaya Ariana --- Paul Dick --- Mya Labelle --- ,
Nothing to Hide,Fred Cavayé,Bérénice Bejo --- Suzanne Clément --- Stéphane De Groodt --- Vincent Elbaz --- Grégory Gadebois --- Doria Tillier --- Roschdy Zem --- Fleur Fitoussi --- Tassadit Mandi --- Méline Ouamar --- Sabri Ouamar --- Cosette Briand --- Gabriel Briand --- ,
Instant Family,Sean Anders,Mark Wahlberg --- Rose Byrne --- Isabela Moner --- Gustavo Quiroz Jr. --- Julianna Gamiz --- Octavia Spencer --- Tig Notaro --- Tom Segura --- Allyn Rachel --- Britt Rentschler --- Jody Thompson --- Margo Martindale --- Julie Hagerty --- Michael O'Keefe --- Joan Cusack --- Gary Weeks --- Joy Jacobson --- Andrea Anders --- Kenneth Israel --- Hampton Fluker --- Randy Havens --- Iliza Shlesinger --- Javier Ronceros --- Rosemary Dominguez --- Eve Harlow --- Erika Bierman --- Maria Wilson --- ,
Ghost Stories,Jeremy Dyson,Andy Nyman,Andy Nyman --- Martin Freeman --- Alex Lawther --- Paul Whitehouse --- Nicholas Burns --- Kobna Holdbrook-Smith --- Louise Atkins --- Daniel Hill --- Deborah Wastell --- Amy Doyle --- Maggie McCarthy --- Christine Dalby --- Jill Halfpenny --- Ramzan Miah --- Joe Osborne --- Maria Major --- Emily Carding --- Benji Ming --- Leonard Byrne --- Macie Allen --- Ryan Oliva --- Samuel Bottomley --- Jake Davies --- Oliver Woollford --- Callum Goulden --- Anthony Davis --- Mike Aarons --- Derren Brown --- Elaine Dyson --- Billy Sneddon --- Paul Warren --- Lesley Harcourt --- ,
The Clovehitch Killer,Duncan Skiles,Dylan McDermott --- Charlie Plummer --- Samantha Mathis --- Madisen Beaty --- Brenna Sherman --- Lance Chantiles-Wertz --- Emma Jones --- Jonathan K. Riggs --- Katarina Perez --- Janet Scott --- Mark A. Nash --- Stan Simonov --- Michael Urriquia --- Gabe Litwin --- Mike Cortese --- Allie Moisan --- Brian Ott --- ,
A Shelter Among the Clouds,Robert Budina,,
The Thinning: New World Order,Michael J. Gallagher,Logan Paul --- Peyton List --- Matthew Glave --- Calum Worthy --- Lia Marie Johnson --- Michael Traynor --- Amy Paffrath --- Laura Harring --- Charles Melton --- Jana Winternitz --- Rome Flynn --- Sydne Mikelle --- Brooke Nevin --- Spencer List --- Megan Guinan --- ,
The Holiday Calendar,Bradley Walsh,Kat Graham --- Quincy Brown --- Ethan Peck --- Ron Cephas Jones --- Genelle Williams --- Laura de Carteret --- Kevin Hanchard --- Ali Hassan --- Rodrigo Fernandez- Stoll --- Romaine Waite --- Jaeda Owens --- Nicola Correia Damude --- Derry Robinson --- ,
Summer of 84,François Simard,Anouk Whissell,Yoann-Karl Whissell,Graham Verchere --- Judah Lewis --- Caleb Emery --- Cory Gruter-Andrew --- Tiera Skovbye --- Rich Sommer --- Jason Gray-Stanford --- J. Alex Brinson --- William MacDonald --- Harrison Houde --- Mark Brandon --- Susie Castillo --- Jaiven Natt --- Shauna Johannesen --- Aren Buchholz --- Patrick Lubczyk --- Reilly Jacob --- Patrick Keating --- Jordan Buhat --- Shahrokh Ferdowsi --- ,
Sierra Burgess Is a Loser,Ian Samuels,Shannon Purser --- Kristine Froseth --- RJ Cyler --- Noah Centineo --- Alice Lee --- William Peltz --- Mario Revolori --- Joey Morgan --- JT Neal --- Brandon Thomas Lee --- Lea Thompson --- Alan Ruck --- Joey Bell --- Elizabeth Tovey --- Shoniqua Shandai --- Mariam Tovey --- Wolfgang Novogratz --- Chrissy Metz --- Ashton Smiley --- ,
Hold the Dark,Jeremy Saulnier,Jeffrey Wright --- Alexander Skarsgård --- James Badge Dale --- Riley Keough --- Julian Black Antelope --- Bobbi Jaye --- Jonathan Whitesell --- Beckam Crawford --- Peter McRobbie --- Tantoo Cardinal --- Macon Blair --- Savonna Spracklin --- Lonni Olson --- Eric Keenleyside --- Michael Tayles --- Brian Martell --- Conor Boru --- Gabriel Cross --- Barb Mitchell --- Vanessa Holmes --- Maureen Thomas --- Anabel Kutay --- Emmanuel Imani --- Makambe Simamba --- Sean Hoy --- Amanda Burke --- Ryan Irving --- Zandus Snow --- Joseph Whitebird --- Clarence Hoof --- Savannah Bird --- Karen Powderface --- Issac Bird --- Lorette Clow --- Nicholas Asbury --- Mark Beswick --- ,
Isle of Dogs,Wes Anderson,Bryan Cranston --- Koyu Rankin --- Edward Norton --- Bob Balaban --- Bill Murray --- Jeff Goldblum --- Kunichi Nomura --- Akira Takayama --- Greta Gerwig --- Ken Watanabe --- Frances McDormand --- Fisher Stevens --- Nijiro Murakami --- Harvey Keitel --- Liev Schreiber --- Scarlett Johansson --- Tilda Swinton --- Akira Ito --- F. Murray Abraham --- Courtney B. Vance --- Yoko Ono --- Mari Natsuki --- Yojiro Noda --- Frank Wood --- Roman Coppola --- Anjelica Huston --- Kara Hayward --- Satoshi Yamazaki --- Gen Ueda --- Ryuhei Matsuda --- Jun Takahashi --- Edward Bursch --- Luli Shioi --- Erica Dorn --- Chinami Narikawa --- Chris Benz --- Alex Orman --- J. Wurster --- Jake Ryan --- Takayuki Yamada --- Kozue Akimoto --- Shota Matsuda --- Kiyotaka Mizukoshi --- Elaiza Ikeda --- Ryuhei Nakadai --- Shin Mononobe --- Ikunosuke --- Taichi Kodama --- Karin Okoso --- ,
Degas: Passion for Perfection,David Bickerstaff,,
Down a Dark Hall,Rodrigo Cortés,AnnaSophia Robb --- Uma Thurman --- Isabelle Fuhrman --- Victoria Moroles --- Noah Silver --- Taylor Russell --- Rosie Day --- Rebecca Front --- Jodhi May --- Pip Torrens --- Kirsty Mitchell --- Jim Sturgeon --- David Elliot --- ,
I Feel Pretty,Abby Kohn,Marc Silverstein,Amy Schumer --- Rory Scovel --- Michelle Williams --- Emily Ratajkowski --- Busy Philipps --- Aidy Bryant --- Tom Hopper --- Adrian Martinez --- Lauren Hutton --- Naomi Campbell --- Sasheer Zamata --- Angela Davis --- Caroline Day --- Anastagia Pierre Friel --- Gia Crovatin --- Olivia Culpo --- Sarah Newhouse --- Chloe Hurst --- Yvette Williams --- Andrea Kostovick --- Jacqueline Giraldo --- Kyle Grooms --- Paul McCallion --- Phil Hanley --- Lexie Roth --- Sarah Fischer --- Danielle Lyons --- Monib Abhat --- Dave Attell --- Nikki Glaser --- Dakota Lustick --- Jeffrey Grover --- William Ambrose Kennedy --- Camille Kostek --- Aina Adler --- Rachel Feinstein --- Mandy Schmieder --- Kevin Kane --- Benz Veal --- Tony Viveiros --- ,
Genesis 2.0,Christian Frei,Maxim Arbugaev,Peter Grigoriev --- Semyon Grigoriev --- George Church --- Spira Sleptsov --- Woo Suk Hwang --- ,
The Kissing Booth,Vince Marcello,Joey King --- Joel Courtney --- Jacob Elordi --- Molly Ringwald --- Carson White --- Frances Sholto-Douglas --- Nathan Lynn --- Meganne Young --- Byron Langley --- D. David Morin --- Dan Elijah Rudin --- Robbie Tucker --- Jessica Sutton --- Michelle Allen --- Joshua Daniel Eady --- Judd Krok --- Chase Dallas --- Celina Caroto --- Ben Lillie --- Megan du Plessis --- Caitlyn de Abrue --- Juliet Blacher --- Morné Visser --- ,
Pride, Prejudice and Mistletoe,Don McBrearty,Lacey Chabert --- Brendan Penny --- Sherry Miller --- Art Hindle --- Anna Hardwick --- Morgan David Jones --- Mark Wiebe --- Steve Belford --- Genevieve Kang --- Robinne Fanfair --- Ali Hassan --- Catherine Thomas --- Paulino Nunes --- Ellora Patnaik --- Kimberly Laferriere --- ,
Blockers,Kay Cannon,Leslie Mann --- John Cena --- Ike Barinholtz --- Kathryn Newton --- Geraldine Viswanathan --- Gideon Adlon --- Ramona Young --- Graham Phillips --- Miles Robbins --- Jimmy Bellinger --- Colton Dunn --- Sarayu Rao --- Gary Cole --- Gina Gershon --- June Diane Raphael --- Hannibal Buress --- Jake Picking --- Amelia Oswald --- Chad Sanborn --- Rhoda Griffis --- Andrew Lopez --- T.C. Carter --- Anniston Almond --- Noor Anna Maher --- Hannah Goergen --- Aubree McGuire --- Milana Alrayes --- Rylee Whiteman --- Madeline Erwin --- Aubrey Michele Katz --- ,
Everybody Knows,Asghar Farhadi,Penélope Cruz --- Javier Bardem --- Ricardo Darín --- Bárbara Lennie --- Inma Cuesta --- Jaime Lorente López --- Eduard Fernández --- Sergio Castellanos --- Elvira Mínguez --- Roger Casamajor --- Sara Sálamo --- Ramón Barea --- Carla Campra --- José �?ngel Egido --- Nella Rojas --- Jordi Bosch --- Paco Pastor Gómez --- Mar del Corral --- Esteban Ciudad --- ,
Through The Fire,Frédéric Tellier,Pierre Niney --- Anaïs Demoustier --- Damien Bonnard --- Vincent Rottiers --- Sami Bouajila --- Chloé Stefani --- Rosa Bursztein --- ,
Insidious: The Last Key,Adam Robitel,Lin Shaye --- Angus Sampson --- Leigh Whannell --- Josh Stewart --- Caitlin Gerard --- Spencer Locke --- Tessa Ferrer --- Kirk Acevedo --- Bruce Davison --- Marcus Henderson --- Judith Drake --- Pierce Pope --- Hana Hayes --- Ty Simpkins --- Rose Byrne --- Patrick Wilson --- Stefanie Scott --- Barbara Hershey --- Javier Botet --- Amanda Jaros --- Aleque Reid --- Ava Kolker --- Thomas Robie --- Devin Koehler --- ,
